City:,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,40.66,87.0,40.0,32.21,AR,1651181945
sao jose do belmonte,-7.8614,-38.7597,78.76,59.0,78.0,14.99,BR,1651182170
upernavik,72.7868,-56.1549,15.98,87.0,39.0,3.85,GL,1651182170
rikitea,-23.1203,-134.9692,77.2,65.0,31.0,20.31,PF,1651182061
novodolinskiy,49.705,72.7047,39.78,40.0,94.0,6.13,KZ,1651182171
severo-kurilsk,50.6789,156.125,34.0,94.0,100.0,14.63,RU,1651182171
punta arenas,-53.15,-70.9167,42.91,75.0,40.0,26.46,CL,1651182066
albany,42.6001,-73.9662,53.17,23.0,15.0,5.01,US,1651182104
burnie,-41.0667,145.9167,62.92,91.0,64.0,3.98,AU,1651182172
east london,-33.0153,27.9116,65.84,49.0,1.0,6.64,ZA,1651182172
mao,39.8885,4.2658,59.56,94.0,75.0,11.5,ES,1651182173
vila velha,-20.3297,-40.2925,80.55,85.0,0.0,5.75,BR,1651182173
college,64.8569,-147.8028,53.1,44.0,40.0,5.75,US,1651182174
gat,31.61,34.7642,69.4,60.0,0.0,0.96,IL,1651182174
hilo,19.7297,-155.09,84.27,72.0,100.0,8.05,US,1651181879
saldanha,-33.0117,17.9442,57.25,91.0,27.0,15.01,ZA,1651182175
avarua,-21.2078,-159.775,82.45,78.0,20.0,13.8,CK,1651182175
kirakira,-10.4544,161.9205,84.13,74.0,100.0,4.18,SB,1651182177
butaritari,3.0707,172.7902,81.81,79.0,99.0,15.93,KI,1651182177
bredasdorp,-34.5322,20.0403,56.8,94.0,66.0,2.37,ZA,1651182177
kodiak,57.79,-152.4072,45.91,71.0,100.0,14.97,US,1651182178
hithadhoo,-0.6,73.0833,84.69,69.0,79.0,8.01,MV,1651182178
hofn,64.2539,-15.2082,46.15,74.0,9.0,4.81,IS,1651182179
kapaa,22.0752,-159.319,80.58,84.0,100.0,11.5,US,1651182076
banyo,6.75,11.8167,65.17,93.0,100.0,3.91,CM,1651182179
tete,-16.1564,33.5867,68.09,88.0,75.0,0.0,MZ,1651182063
atuona,-9.8,-139.0333,78.78,78.0,57.0,19.62,PF,1651182180
bluff,-46.6,168.3333,49.06,85.0,50.0,7.54,NZ,1651182180
busselton,-33.65,115.3333,54.37,80.0,39.0,6.06,AU,1651182141
foumban,5.7291,10.9001,62.58,97.0,87.0,7.0,CM,1651182181
moussoro,13.6408,16.4901,91.18,26.0,63.0,8.95,TD,1651182181
vostok,46.4856,135.8833,36.72,55.0,0.0,2.86,RU,1651182137
torbay,47.6666,-52.7314,44.76,91.0,100.0,8.05,CA,1651182182
mitsamiouli,-11.3847,43.2844,80.94,79.0,95.0,20.27,KM,1651182182
kavieng,-2.5744,150.7967,83.91,71.0,100.0,10.02,PG,1651182183
merauke,-8.4667,140.3333,78.66,88.0,100.0,10.16,ID,1651182183
itarema,-2.9248,-39.9167,77.52,89.0,81.0,9.48,BR,1651182184
mataura,-46.1927,168.8643,48.07,88.0,15.0,1.34,NZ,1651182184
cockburn town,21.4612,-71.1419,78.76,47.0,40.0,9.22,TC,1651182185
puerto ayora,-0.7393,-90.3518,78.76,77.0,13.0,9.53,EC,1651182185
chicama,-7.8447,-79.1469,64.94,73.0,77.0,7.47,PE,1651182186
arkhipo-osipovka,44.37,38.52,56.55,87.0,97.0,8.7,RU,1651182186
namibe,-15.1961,12.1522,73.35,70.0,26.0,2.66,AO,1651182186
malanje,-9.5402,16.341,64.92,96.0,98.0,1.66,AO,1651182187
bucerias,20.75,-105.3333,86.58,47.0,38.0,8.05,MX,1651182125
vaini,-21.2,-175.2,78.96,69.0,40.0,12.66,TO,1651182118
port alfred,-33.5906,26.891,66.88,53.0,10.0,11.1,ZA,1651182069
yellowknife,62.456,-114.3525,39.72,48.0,20.0,20.71,CA,1651182068
hermanus,-34.4187,19.2345,55.8,88.0,98.0,3.42,ZA,1651182188
chokurdakh,70.6333,147.9167,0.05,97.0,99.0,3.85,RU,1651182044
puerto baquerizo moreno,-0.9,-89.6,77.99,69.0,0.0,11.5,EC,1651182188
luderitz,-26.6481,15.1594,60.33,69.0,8.0,6.67,NA,1651182189
tasiilaq,65.6145,-37.6368,35.76,86.0,5.0,5.23,GL,1651182189
trelew,-43.249,-65.3051,47.64,29.0,25.0,8.66,AR,1651182190
mandalgovi,45.7625,106.2708,30.13,32.0,4.0,14.56,MN,1651182190
bridlington,54.0831,-0.1919,45.9,79.0,100.0,4.76,GB,1651182191
ugoofaaru,5.6667,73.0,84.6,69.0,66.0,3.27,MV,1651182191
saskylakh,71.9167,114.0833,24.46,93.0,100.0,10.29,RU,1651182192
tessalit,20.1986,1.0114,82.98,10.0,0.0,6.6,ML,1651182192
thompson,55.7435,-97.8558,48.36,40.0,100.0,12.66,CA,1651182192
augusto correa,-1.0217,-46.635,74.75,96.0,92.0,3.58,BR,1651182193
solnechnyy,50.7214,136.6319,34.65,74.0,35.0,2.86,RU,1651182193
wahiawa,21.5028,-158.0236,82.72,60.0,75.0,13.8,US,1651182194
jacareacanga,-6.2222,-57.7528,76.01,93.0,96.0,2.21,BR,1651182194
belyy yar,53.6039,91.3903,39.09,56.0,0.0,6.71,RU,1651182195
aksha,50.2814,113.2867,30.31,68.0,73.0,15.57,RU,1651182195
qasigiannguit,68.8193,-51.1922,26.85,92.0,100.0,3.38,GL,1651182196
inhambane,-23.865,35.3833,68.83,80.0,46.0,5.1,MZ,1651182196
victoria,22.2855,114.1577,81.32,88.0,16.0,4.0,HK,1651182131
bandarbeyla,9.4942,50.8122,82.99,78.0,24.0,6.89,SO,1651182197
kochevo,59.5994,54.3125,20.39,97.0,70.0,2.98,RU,1651182197
cidreira,-30.1811,-50.2056,66.74,88.0,99.0,9.93,BR,1651182197
lebu,-37.6167,-73.65,52.56,75.0,7.0,15.5,CL,1651182198
gonen,40.1049,27.654,55.36,94.0,1.0,4.45,TR,1651182198
jamestown,42.097,-79.2353,47.52,36.0,0.0,10.36,US,1651182199
lompoc,34.6391,-120.4579,71.69,61.0,0.0,26.46,US,1651181939
georgetown,5.4112,100.3354,80.53,93.0,20.0,3.44,MY,1651182199
esperance,-33.8667,121.9,49.84,72.0,82.0,11.07,AU,1651182032
port-gentil,-0.7193,8.7815,80.56,94.0,75.0,0.0,GA,1651182200
tilichiki,60.4667,166.1,31.48,91.0,90.0,9.78,RU,1651182200
tuktoyaktuk,69.4541,-133.0374,8.6,85.0,100.0,12.66,CA,1651182050
ponta do sol,32.6667,-17.1,65.71,81.0,95.0,1.5,PT,1651182201
hervey bay,-25.2986,152.8535,69.03,95.0,33.0,5.01,AU,1651182201
cabo san lucas,22.8909,-109.9124,88.61,26.0,0.0,9.22,MX,1651182124
nikolskoye,59.7035,30.7861,37.87,54.0,100.0,7.65,RU,1651182192
santiago del estero,-27.7951,-64.2615,67.66,33.0,100.0,4.99,AR,1651182202
broken hill,-31.95,141.4333,58.71,88.0,97.0,6.91,AU,1651182202
monte alegre,-2.0078,-54.0692,77.02,93.0,100.0,3.62,BR,1651182203
phek,25.6667,94.5,53.64,76.0,0.0,2.24,IN,1651182203
mar del plata,-38.0023,-57.5575,50.02,85.0,20.0,13.0,AR,1651182204
ancud,-41.8697,-73.8203,46.58,76.0,76.0,1.12,CL,1651182204
svetlogorsk,52.6333,29.7333,38.93,76.0,44.0,3.74,BY,1651182205
inuvik,68.3499,-133.7218,20.16,65.0,75.0,5.75,CA,1651182205
qaqortoq,60.7167,-46.0333,38.01,87.0,100.0,4.05,GL,1651182206
fukue,32.6881,128.8419,62.69,94.0,100.0,19.06,JP,1651182206
airai,-8.9266,125.4092,56.88,84.0,87.0,2.55,TL,1651182207
verkhoyansk,67.5447,133.385,11.84,94.0,92.0,2.24,RU,1651182208
rock sound,24.9,-76.2,74.71,61.0,0.0,4.65,BS,1651182209
eyl,7.9803,49.8164,82.2,74.0,5.0,6.55,SO,1651182209
dikson,73.5069,80.5464,7.93,91.0,89.0,20.0,RU,1651182209
san lawrenz,36.0553,14.204,62.85,68.0,100.0,1.99,MT,1651182210
tiksi,71.6872,128.8694,7.65,92.0,40.0,5.99,RU,1651182210
noshiro,40.2039,140.0242,50.83,48.0,100.0,6.11,JP,1651182212
damaturu,11.747,11.9608,89.94,28.0,100.0,6.6,NG,1651182212
eidfjord,60.4675,7.0719,40.59,95.0,100.0,3.65,NO,1651182213
hobart,-42.8794,147.3294,57.02,93.0,20.0,5.75,AU,1651182179
narsaq,60.9167,-46.05,50.22,74.0,100.0,1.99,GL,1651182213
srednekolymsk,67.45,153.6833,15.87,88.0,99.0,6.35,RU,1651182214
boat of garten,57.2491,-3.759,47.43,76.0,100.0,0.74,GB,1651182214
barcelos,41.5388,-8.6151,62.85,77.0,42.0,4.81,PT,1651182214
